Year,Landings,Discards,Catch
1963,115893.251540062,12198.572544405,128091.824084467
1964,125393.380140078,4655.6107624,130048.990902478
1965,180119.543552048,28972.63675778,209092.180309828
1966,220197.487863501,37861.70979868,258059.197662181
1967,251686.696769069,23284.92282674,274971.619595809
1968,286948.401712279,17468.343565107,304416.745277386
1969,199746.207443426,4756.775588744,204502.98303217
1970,224993.060222979,17662.66127193,242655.721494909
1971,326491.803453943,84006.59188812,410498.395342063
1972,352161.458756535,33602.618256816,385764.077013351
1973,237874.298300557,29965.76160605,267840.059906607
1974,213215.071448893,39532.67982372,252747.751272613
1975,204248.607797833,36840.85303817,241089.460836003
1976,233007.073362389,72396.829115633,305403.902478022
1977,208318.295083919,139026.59121781,347344.886301729
1978,294640.189085966,32433.68512326,327073.874209226
1979,266019.397715831,162278.06348994,428297.461205771
1980,293753.385420136,294208.14461374,587961.530033875
1981,333615.568936673,57075.62322656,390691.192163233
1982,302364.533770386,54007.83309702,356372.366867406
1983,257634.221661125,21430.39866761,279064.620328735
1984,227069.985765198,151003.92822005,378073.913985248
1985,214353.608170058,31297.598401012,245651.20657107
1986,201278.967800473,138603.82922074,339882.797021213
1987,216040.669731652,27706.10717571,243746.776907362
1988,183201.580901449,10504.46981015,193706.050711599
1989,139577.792641881,61655.62511114,201233.417753021
1990,124834.604928234,26747.11442051,151581.719348744
1991,101442.083972531,18198.97086129,119641.054833821
1992,112739.768918422,36192.586925925,148932.355844347
1993,119946.638361363,21411.608281506,141358.246642869
1994,109914.867701857,98208.27079356,208123.138495417
1995,136397.348066529,31706.81043264,168104.158499169
1996,124721.119892342,14030.004406668,138751.12429901
1997,122434.400447273,33183.67187147,155618.072318743
1998,144637.44517837,40102.320391538,184739.765569908
1999,94107.8065133423,13641.516816675,107749.323330017
2000,69566.976858671,13359.93593757,82926.912796241
2001,48440.1440522767,13519.423575848,61959.5676281247
2002,53147.441977392,11891.076227096,65038.518204488
2003,30423.347081868,4005.593247,34428.940328868
2004,27747.141837121,8723.908054836,36471.049891957
2005,28167.662860369,9940.90064341,38108.563503779
2006,25666.318063208,11910.007052427,37576.325115635
2007,24217.375887363,30429.221841068,54646.597728431
2008,26814.43742799,24985.41946858,51799.85689657
2009,33177.118954208,20844.421248654,54021.540202862
2010,36761.755915587,12347.970015408,49109.725930995
2011,31980.25611721,8711.391705107,40691.647822317
2012,32122.561738959,8639.893395896,40762.455134855
2013,30474.008927483,10291.446564617,40765.4554921
2014,34656.343526644,10537.174502035,45193.518028679
2015,37372.3318786676,12604.7309932279,49977.0628718954
