Year,1,2,3,4
1992,16659.5523,1668.0267,379.0513,328.8173
1993,4734.5465,4283.3677,441.0894,134.8462
1994,16986.9589,2205.0852,917.3176,154.2302
1995,9089.0853,6754.6243,656.6673,291.2504
1996,4982.2085,2881.259,972.4102,208.5951
1997,29172.4659,1940.7794,710.9211,251.7204
1998,845.7766,8731.5117,705.1707,189.6698
1999,3261.6219,461.1564,2348.4777,152.8487
2000,6320.2583,915.8061,111.7265,334.7658
2001,1380.1031,2145.5914,362.0005,74.1747
2002,3817.1005,830.2832,742.2723,204.5119
2003,980.9766,1205.4486,263.9218,176.2254
2004,3148.2014,753.5636,468.0632,93.2565
2005,1075.1741,716.8075,281.6155,115.6125
2006,5461.7241,682.0297,581.0932,115.3904
2007,1834.9959,2275.0544,425.9163,167.7044
2008,2455.7261,1127.9693,1084.0379,219.9551
2009,1917.5811,922.3867,291.6162,234.3273
2010,4570.253,1661.5276,540.6718,179.2164
2011,1205.3353,2767.1863,864.6149,358.7056
2012,2064.4749,974.0124,1239.3197,364.1493
2013,3098.6694,1073.4358,501.2044,527.5542
2014,3391.8947,1481.1059,597.7459,291.7339
2015,1834.0232,3110.3852,1085.6752,466.091
