Year,1,2,3,4,5,6+
1963,0.01,0.05,0.23,0.62,0.86,1
1964,0.01,0.05,0.23,0.62,0.86,1
1965,0.01,0.05,0.23,0.62,0.86,1
1966,0.01,0.05,0.23,0.62,0.86,1
1967,0.01,0.05,0.23,0.62,0.86,1
1968,0.01,0.05,0.23,0.62,0.86,1
1969,0.01,0.05,0.23,0.62,0.86,1
1970,0.01,0.05,0.23,0.62,0.86,1
1971,0.01,0.05,0.23,0.62,0.86,1
1972,0.01,0.05,0.23,0.62,0.86,1
1973,0.00787187666910864,0.0300263874315492,0.227575531380726,0.628429937609914,0.858661420218219,1
1974,0.00719310425410765,0.0352248938051233,0.223362172783517,0.615718067748933,0.845463857464715,1
1975,0.00651574611419303,0.0404229668660892,0.219537377111872,0.603250240507447,0.832550767652667,1
1976,0.00584261665034881,0.0456227680131247,0.216558566275986,0.591293028101146,0.820301660458584,1
1977,0.00517832068124061,0.0508318000846131,0.214827589135035,0.580046213378893,0.80912842003602,1
1978,0.00452925299225573,0.0560649681847743,0.214606759121153,0.569602120031162,0.799401418291021,1
1979,0.00390348715278408,0.0613454639368801,0.216055510132518,0.560009704836045,0.791416592645383,1
1980,0.00331058307968706,0.0667042961900201,0.21935809525193,0.551418597285299,0.785400265443126,1
1981,0.00276129011770957,0.072178532061211,0.224870873621667,0.544240804723238,0.781536952243696,1
1982,0.00226710895716847,0.0778085556269878,0.233202323492698,0.539251740830135,0.77999896601635,1
1983,0.00183971256866649,0.083634836769917,0.245159004919412,0.537565996431487,0.780957918874597,1
1984,0.00149029798618566,0.089694786879655,0.261541017993902,0.540463686863184,0.784566870718963,1
1985,0.00122901100222449,0.0960202441038642,0.282833358706247,0.549096705068065,0.790914702799696,1
1986,0.00106461357953958,0.10263598835667,0.308891285925699,0.564151736486092,0.799966571782206,1
1987,0.00100452235978858,0.109559467465092,0.338737560380771,0.585570884911558,0.81151151130206,1
1988,0.00105523814924522,0.116801666667392,0.370567212916135,0.612421598349275,0.825137764184513,1
1989,0.00122304434853497,0.12436882384736,0.401996336372347,0.642967216458178,0.840248455974431,1
1990,0.00151473133160508,0.132264526287631,0.430513966168917,0.674930847788927,0.856117689140375,1
1991,0.00193805780569324,0.140491652294733,0.45402649009871,0.70588787734602,0.871974581561367,1
1992,0.00250171975281719,0.149053656513601,0.471346519573733,0.733685286078599,0.887094633511968,1
1993,0.00321475396276803,0.157954836109333,0.482486645274356,0.756781141544142,0.900876795618235,1
1994,0.00408550726787073,0.167199433337958,0.488671380094612,0.774425891083785,0.912890744856449,1
1995,0.00512047999163898,0.176789690358387,0.492061150267242,0.786657950587874,0.92288954628859,1
1996,0.00632343016470535,0.18672322620236,0.495264346769203,0.794141664286221,0.930793899991068,1
1997,0.00769506182611652,0.196990302068907,0.500770756718512,0.797917273921484,0.936661421400505,1
1998,0.00923342483450127,0.207571633600791,0.510454460206474,0.799147126200245,0.940655403554755,1
1999,0.0109348862125242,0.218437367097424,0.525263467058586,0.798927203460216,0.943022366614206,1
2000,0.0127952897053784,0.229547654803331,0.545149295521423,0.798196201199209,0.944079018234622,1
2001,0.0148107979225422,0.240854966607511,0.569215305373301,0.797731228543821,0.944201067491258,1
2002,0.0169779719199688,0.252307915364943,0.596003117192611,0.798186618900091,0.94380249034833,1
2003,0.0192928861980685,0.263856025794066,0.623810469378775,0.800122205356275,0.943296385756994,1
2004,0.0217494346317434,0.275454624098808,0.650947075642936,0.803982340360855,0.943036848641547,1
2005,0.0243373369531302,0.287068935637051,0.675878813550951,0.810019485531805,0.943252132229648,1
2006,0.0270405765520775,0.298676587488031,0.697265750107558,0.818191982831114,0.943988203829361,1
2007,0.0298369925962693,0.31026801268316,0.71394394486679,0.828089026261107,0.945084416111703,1
2008,0.0326994871860749,0.321844686172549,0.724917879365285,0.838936176540344,0.946197296876826,1
2009,0.035598850798854,0.333415594409399,0.729414417897091,0.849710438108213,0.946875342313888,0.992867634116504
2010,0.0385076869229252,0.344992739497703,0.727008157456142,0.85935324852524,0.946671046091154,0.979563381243821
2011,0.0414044912076925,0.356586705723185,0.717779321410805,0.867027791250292,0.945261745538049,1
2012,0.0442767518854291,0.368203310843532,0.702429128415052,0.872339945522807,0.942543471506729,1
2013,0.0471220564910083,0.37984212510735,0.682268695896851,0.875440825647848,0.938664857822245,1
2014,0.049946585862771,0.391497229529236,0.659019713072736,0.876954475770643,0.933980788432522,1
2015,0.0527609233530379,0.4031601160787,0.63440915709978,0.877717467732776,0.928923690131356,1
2016,0.0527609233530379,0.4031601160787,0.63440915709978,0.877717467732776,0.928923690131356,1
