Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1963,0.314,0.809,2.647,4.491,6.794,9.409,11.562,11.942,13.383,13.756,0,0,0,0,0
1964,0.357,0.761,2.366,4.528,6.447,8.52,10.606,10.758,12.34,12.54,0,0,0,0,18
1965,0.312,0.9,2.295,4.512,7.274,9.498,11.898,12.041,13.053,14.441,12.64,17.434,0,16.928,0
1966,0.313,0.836,2.437,4.169,7.027,9.599,11.766,11.968,14.06,14.746,14.825,17.45,0,0,0
1967,0.326,0.868,2.395,3.153,6.803,9.61,12.033,12.481,13.589,14.271,18.583,19.103,0,0,0
1968,0.327,0.848,2.215,4.094,5.341,8.02,8.581,10.162,10.72,12.497,11.518,11.807,0,0,0
1969,0.417,0.755,2.127,3.852,5.715,6.722,9.262,9.749,10.384,12.743,11.017,13.718,8.095,0,0
1970,0.449,0.845,2.028,4.001,6.131,7.945,9.953,10.131,11.919,12.554,14.473,14.225,0,0,0
1971,0.314,0.834,2.188,4.258,6.528,8.646,10.356,11.219,12.881,13.147,15.676,15.176,0,0,0
1972,0.3,0.729,2.08,3.968,6.011,8.246,9.766,10.228,11.875,12.53,14.455,14.272,0,0,0
1973,0.335,0.7,1.913,3.776,5.488,7.453,9.019,9.81,11.077,12.359,12.892,12.899,12.832,0,0
1974,0.304,0.901,2.206,4.156,6.174,8.333,9.889,10.791,12.175,12.425,13.66,14.049,14.309,0,0
1975,0.304,0.76,2.348,4.226,6.404,8.691,10.107,10.91,12.339,12.976,13.831,17.41,15.662,0,0
1976,0.198,0.722,2.449,4.577,6.494,8.62,10.132,11.34,12.888,14.139,14.705,14.376,20.738,0,0
1977,0.294,0.673,2.128,4.606,6.714,8.828,10.071,11.052,11.824,13.134,14.417,14.513,14.16,0,0
1978,0.432,0.743,2.001,4.146,6.53,8.667,9.685,11.099,12.427,12.778,13.847,13.739,17.148,0,0
1979,0.291,0.905,2.411,4.423,6.579,8.474,10.637,11.55,13.057,14.148,15.982,15.394,0,0,0
1980,0.257,0.917,1.948,4.401,6.109,9.12,9.55,11.867,12.782,14.081,16.475,12.166,0,0,0
1981,0.33,0.769,2.186,4.615,7.045,8.884,9.933,11.519,13.338,14.897,16.987,18.129,28.496,0,0
1982,0.358,0.908,1.856,4.13,6.785,8.903,10.398,12.5,13.469,12.89,13.998,15.879,0,0,0
1983,0.403,0.882,1.834,3.88,6.491,8.423,9.848,11.837,12.797,12.562,14.117,15.238,0,0,0
1984,0.305,0.921,2.156,3.972,6.19,8.362,10.317,11.352,13.505,13.408,12.886,14.086,0,18.203,14.516
1985,0.314,0.8,2.132,4.164,6.324,8.43,10.362,12.074,13.072,14.443,16.85,14.591,16.263,0,16.148
1986,0.293,0.782,1.822,3.504,6.23,8.14,9.896,11.94,12.951,13.859,14.794,13.866,12.968,0,28.015
