Year,1,2,3,4,5,6+
1963,21688.5554112324,47320.5527911001,7397.44537503207,3506.94301122143,2785.07477167726,1800.2305157675
1964,39807.0774165479,36523.092107326,20248.7835677101,4190.8547930616,1891.6031953507,2573.28867519168
1965,60409.3999424286,67832.7231619031,17038.486908651,8864.94487309525,2341.27281849958,2114.91520821872
1966,76726.3135825326,82975.4450302896,28888.5326141996,6329.96508927132,3568.60484974023,2336.9220984811
1967,70841.4811455168,107087.335484567,32461.1737401343,11576.9345877531,3199.37257739626,3276.26718516358
1968,39210.505997086,96220.7201850087,41718.5018986323,12079.5594324493,5933.50274658697,2928.27853901003
1969,32725.1770172654,45374.2480713708,32376.8843121493,13779.9511559444,4583.50835388632,4004.88441936046
1970,122577.651752564,44859.9188898647,18000.0533362696,13376.7044612497,6261.78144820162,3394.46010215827
1971,200425.923778761,158055.260363941,16906.103676551,6680.64621082958,6971.39062753852,4521.54939231949
1972,58512.7524463874,211758.128706116,47777.0176234454,5699.59272776169,2731.15533967302,5675.98843073489
1973,87570.5470938592,48849.5282348232,54852.3330557869,13694.3689256977,2200.06019426138,3072.35608304568
1974,84668.5922344058,71168.1026122172,11902.6935235034,16072.9015601016,4740.93664690435,2324.7783961617
1975,161765.00909658,72533.2241492925,19312.5418378709,4441.68905109771,7389.68213380318,3099.66710740803
1976,124032.635565115,130027.338047189,18571.80779677,6457.6451341372,1762.15011734825,4356.30717829614
1977,289178.666714937,76320.739840342,27151.8374285924,4957.01983785171,2310.94081541378,2649.69548220006
1978,202804.958378824,209190.374684066,17506.368360009,9245.10961102256,2724.44495469499,2130.96455729259
1979,229348.967921515,122602.169734631,44134.6293799092,4208.49339833479,3364.04702537237,1525.77842281365
1980,400712.703744043,147797.740525327,34190.3937810335,12314.8360816105,1905.44336878339,2106.64096870739
1981,160171.436705341,233935.332661733,34641.2344988875,8963.71463631208,4254.9998255132,1634.75790167904
1982,289525.889406943,95894.1252623679,58069.741103258,9404.46635912109,3426.24435485692,2718.97432016558
1983,154848.113102098,158831.631696099,20786.5204432994,11760.3619612875,2807.38858204605,2168.28107218927
1984,256145.263992337,83951.9592055089,31244.5425027118,4302.06319758553,3385.64596923076,1794.62254953481
1985,58923.778626788,153169.434090188,19340.5653356617,7807.88968862966,1373.62704702271,1929.25654916333
1986,275708.657939765,39970.6214701678,34989.3846936031,5661.75956447117,2909.59739977084,1437.81517383081
1987,100881.314410521,179333.055281553,9795.80978241295,8548.74698731583,1549.87567962033,1601.2021982595
1988,71082.7521096261,70784.8306238304,42689.1470729074,2937.10593598013,2567.99315677742,1133.48246495005
1989,123624.00248317,50700.9536973005,18595.966846886,9952.80798612713,959.449804640887,1427.67139375412
1990,45143.4284964241,81527.8533713285,11868.8191408853,4301.93413762552,2573.26294243359,769.137686774858
1991,50071.1363353221,33359.5711108283,17815.0698698556,3313.00198018104,1368.08878856758,1367.73313171995
1992,111034.917178096,39525.4481339204,8658.35474282654,4840.67764883473,1029.11038074661,939.614796199941
1993,56449.4033504859,88610.0002621661,10525.119369432,2800.18285671333,1462.71561895044,726.472042630935
1994,133225.705139811,47259.0760410172,21928.6657884244,3118.57049147617,904.886933015218,787.607602924605
1995,80442.6671219782,112005.135286675,14466.4868265696,5980.56306177741,953.462408964927,611.778323259684
1996,47448.4909223909,62442.4118147205,24636.8852660495,3313.06824088324,1810.53923539822,664.051694759854
1997,136189.149010863,40863.805535541,15893.4125924539,5545.26672210977,1020.99201768508,787.583975050938
1998,16444.0666309308,126475.007694722,12827.5438340011,4151.14716364044,1681.1611594649,588.289986118866
1999,30169.8994691083,15877.5271239195,34902.020482635,3419.77486861654,1217.66455020899,779.349813785983
2000,54089.7509234001,28598.2269462552,5549.20525949779,6585.20009368193,936.144645192229,546.530436735071
2001,17977.7471028555,50807.5375739658,8822.23042778368,1390.07085549249,1378.00213373323,360.430806241952
2002,24629.4953090187,18369.7395481439,15307.2216608682,2386.13456785294,344.10952729623,435.010426601379
2003,11952.9094936852,25275.7318763099,6376.08785888828,4310.93458216145,612.390407574094,233.539213287372
2004,19026.347346271,13524.6604765206,8388.7768316909,1801.67127640753,1108.82924117613,243.040962720419
2005,13408.0426010129,18522.1019874098,4568.45339039668,1892.24644978417,519.777065782557,412.093390651121
2006,27203.4749598272,14392.8955609903,6467.27419725762,1103.32099846331,525.011412263434,326.196512879668
2007,11363.93473703,29747.4888795147,4999.734049992,1957.08225953466,440.909659182565,266.789511219916
2008,12002.8571948528,13019.9750567954,11427.9798484464,1480.75889169786,732.856564552836,315.664518714469
2009,11140.027699853,14652.994554389,5445.41908855364,3477.05169639298,625.636793098928,358.625977504946
2010,13773.8893111394,13200.5001762932,5741.52423368108,1652.09589464143,1301.76979710855,304.292679572494
2011,5121.07675687551,16232.6512164631,5092.78443373886,1576.77988672212,623.21402555019,520.567727673355
2012,6079.27059599789,7658.0296209161,7229.24584078098,2042.29611407229,649.848981667914,419.192398712453
2013,7376.09762026209,9375.26390210231,3957.62746618165,2954.92928816828,949.418792498301,388.168684883832
2014,10986.3623912433,11853.5182353995,5445.80028123144,1713.2201375145,1363.82700338929,477.851492943263
2015,4556.22632689382,18129.2149200311,6779.10251667064,2171.83997064673,794.124301498521,830.368850277642
