Year,Landings,Discards,Catch,TotalRemovals
1963,106937.518111519,10848.6941837756,117830.213660462,117830.213660462
1964,135131.005771991,9787.87838913713,144929.109231571,144929.109231571
1965,182043.327333758,17056.7278468048,199187.127288727,199187.127288727
1966,214700.647564759,26238.944043405,240866.953532397,240866.953532397
1967,260667.25815667,26662.1437172692,287506.28504308,287506.28504308
1968,276509.373524219,17126.8039889031,293607.758270378,293607.758270378
1969,217075.391836174,9664.35834607636,226839.954149297,226839.954149297
1970,232349.968745878,19896.5175915579,252205.623488927,252205.623488927
1971,291559.680597318,57872.639246538,349409.546897702,349409.546897702
1972,328075.813704275,34372.0839216395,362579.848229969,362579.848229969
1973,234685.124753775,24959.2556419146,259626.671684436,259626.671684436
1974,209609.174093244,26160.3451685363,235625.745239601,235625.745239601
1975,209190.374684066,36242.944251507,245241.814322488,245241.814322488
1976,201390.280818229,43870.6144404923,245241.814322488,245241.814322488
1977,181679.604523142,77963.8081566746,259367.174782827,259367.174782827
1978,306201.910018565,48727.556941879,355045.063557501,355045.063557501
1979,278173.416903375,62130.9789865356,340101.710368804,340101.710368804
1980,290977.143966932,100911.583344957,391601.492140409,391601.492140409
1981,342148.454723852,53960.0911751186,395932.887553912,395932.887553912
1982,323191.401175071,63576.5518662331,386930.357098462,386930.357098462
1983,287793.935129195,37234.8340013504,324811.404815041,324811.404815041
1984,209818.888106867,68050.1355503174,278173.416903375,278173.416903375
1985,213843.560291829,28029.1410573887,241832.350853974,241832.350853974
1986,168889.51116347,59041.7441102032,227749.131107575,227749.131107575
1987,225032.474076278,32565.2158747355,257557.944253884,257557.944253884
1988,191376.888314099,14707.3110578055,206075.935751312,206075.935751312
1989,138968.143167442,40295.6982878321,179153.811862918,179153.811862918
1990,115151.047265359,23086.4235817771,138275.03666184,138275.03666184
1991,102436.666624524,15754.7943325573,118302.478414927,118302.478414927
1992,108553.671732584,31413.7193987461,140084.347175733,140084.347175733
1993,130115.396359422,28543.285399066,158605.775019333,148301.10808305
1994,106116.30621262,41910.4718707362,148047.877936131,153430.043583447
1995,130522.381919423,31929.9589473435,162315.946189831,190232.064888958
1996,132275.480453787,21451.3315638887,153682.182664546,155593.170752839
1997,133069.922215579,46148.9736385976,179266.714324933,153430.043583447
1998,147449.349121244,43575.049222861,191040.361221376,135672.612285965
1999,96722.3710919427,13842.5159369193,110591.664605532,94845.0702649178
2000,73373.1247695199,16493.357449271,89797.5525980831,84965.451507911
2001,44415.7759721916,11411.193059382,55845.8223250795,72185.8989207883
2002,53421.5766256773,11395.4564737016,64794.1110919473,56443.7586923885
2003,31130.7077972945,4749.76299502671,35880.5268595905,53316.4397135853
2004,27269.387090741,7502.71324422827,34770.3398783449,39418.8733646416
2005,29902.3693884492,11366.1281880954,41261.8242841711,40054.6479722026
2006,22629.2817662557,9120.68326801025,31761.1778299719,31761.1778299719
2007,24004.5818133768,29143.8735535396,53103.5999181083,53103.5999181083
2008,27038.0388556793,25260.5709859061,52312.9903152326,52312.9903152326
2009,33223.0768736657,21609.7525777013,54830.3965101662,54830.3965101662
2010,36206.7194226887,12545.2827825346,48727.556941879,48727.556941879
2011,34372.0839216395,10443.1339168827,44801.6388855186,44801.6388855186
2012,32728.4496985985,7631.96021350987,40336.0141406867,40336.0141406867
2013,30822.4931653362,10807.5473743285,41606.0138706801,41606.0138706801
2014,34821.8380806344,11121.1057409854,45935.7977735973,45935.7977735973
2015,38638.3273752686,13654.1666074218,52312.9903152326,52312.9903152326
