Year,1,2,3,4,5,6+
1963,487477.785413888,184241.006967473,20339.0914405767,10329.921883661,8251.0851168941,5229.12897912094
1964,802109.170176962,133652.710240041,51740.7007847571,11534.5251068143,5260.59806584865,7058.58580841732
1965,1042362.15657097,229119.733589863,40336.0141406867,22948.3197660449,6212.38401119243,5601.5577069571
1966,1271871.50538439,275130.277270349,67710.7340833194,16486.5470990786,9512.86146122575,6183.87267109815
1967,1074106.81026012,338067.209712059,72692.9729016165,28738.7021414528,8038.51786475803,8201.72682913079
1968,544160.761693379,289815.560107561,89859.2647124021,28738.7021414528,14326.9835541411,7123.1120885641
1969,480220.186702481,141209.516630059,72620.3162630888,34166.4688800791,11439.1847582069,10047.709730455
1970,1561254.15227179,130875.268533155,38754.4164038706,32370.4095827814,15432.0223056517,8536.44565074209
1971,2034987.02313365,414571.195013992,33590.5481057249,14954.9854777442,16036.1367273291,10721.4319164473
1972,509405.684157608,518658.00757179,90490.4862633313,12157.4812497704,5980.74248136054,12825.6198467287
1973,740440.086576973,119372.006377187,105873.472027858,29911.5508251299,4964.1630883242,7216.31706543201
1974,726504.531926603,177193.919104808,23860.9855420989,36680.4795438684,11073.3876537124,5634.14114227769
1975,1236753.05590177,169396.940460334,36901.2239922438,9666.29141104563,16455.2523989699,7232.21043927687
1976,846613.878369171,285500.768544708,33996.0629056271,13639.1552818963,3812.34589837351,9944.74947579565
1977,2092771.87244425,171441.949258601,51225.8722100142,10936.9254609326,5136.87398853521,6185.72811120158
1978,1333076.51751466,443742.625037566,30791.6860782816,18833.6416664063,5598.19778041168,4651.7557129677
1979,1636384.83876306,271576.731757294,80257.8615954217,9004.68251081842,7373.8851228672,3572.42530050611
1980,2623447.89227478,313012.999309455,58806.0488385658,24710.9068987805,3981.84277533067,4721.11368046965
1981,1056001.32713058,494350.470954973,58747.2721829532,17678.4206066814,8882.15955899527,3659.56658505718
1982,1727179.00051444,191760.0250998,92041.9748176838,17024.3508318002,6599.17552660518,5631.88793649199
1983,946948.510956498,320936.961112687,33090.4499967606,21245.49177329,5433.83268979024,4533.2753838497
1984,1709993.28231437,177371.201650412,51896.1559532728,8047.36509949626,6789.95776257825,3887.02747787453
1985,415816.776036382,332701.177092497,32958.3525677615,14819.5124470619,2805.67659721946,4264.58435367131
1986,1861698.87039527,84880.5285249715,57814.7955339681,10211.8082371741,5661.25002903982,3036.92266364075
1987,709275.9925943,387317.480985244,16364.9969408044,15466.0101276199,3034.49409706599,3408.74681568428
1988,490411.444302064,151751.561679161,70262.9561940889,5234.3607235363,4985.55494914348,2410.04331656115
1989,827363.981571983,107688.706831468,30393.9848183968,17499.0172291433,1831.8835888299,2992.60642287668
1990,327420.317791278,180592.790598217,20296.4241648713,7972.07428876197,5228.08325790073,1729.34845336158
1991,374370.040368316,75131.8613415193,30668.7653393406,6110.72070376983,2740.5118815014,3046.65638180737
1992,856834.445666874,90400.0410072332,14978.9326071034,8947.2365658551,2073.09927329759,2140.08323046447
1993,434521.193824619,201995.358823884,17909.7403954508,5103.59258933531,2917.55145301483,1661.37358493857
1994,1018661.43012181,107258.812366265,36534.0506786617,5594.28041320387,1778.09883096738,1797.04692606264
1995,596002.416160595,248450.770933977,23318.4459961499,10440.0014466017,1823.11161717766,1378.56723044497
1996,372875.551177875,141775.485880455,39576.8646299758,5710.14673375351,3344.25758418003,1448.52344096185
1997,1160080.54962077,96567.7390368278,25848.2970597349,9548.1242445525,1867.58232680407,1723.30631368726
1998,141209.516630059,300739.584053918,20613.4694932353,7003.04266481838,3011.21821964876,1279.98034330145
1999,251450.140409691,37272.0874589761,54284.824949291,5519.26512014507,2071.85578681686,1623.11106972416
2000,457256.599878395,67914.1712887997,8617.06656451603,10507.0317239509,1577.82090494558,1149.52029551755
2001,167041.906993578,127388.913864263,14258.3788161734,2296.17505959242,2420.18678486324,809.891266688908
2002,246964.529491422,48387.6550877069,25539.9711503763,4066.7523032185,626.344162263437,1032.87349714592
2003,123253.68622784,68186.3720124681,10749.343909297,7505.5648170256,1153.43531628614,589.043479433942
2004,201793.464429082,37458.9145748377,14371.4661155059,3257.45013131748,2171.9920047658,650.147980964047
2005,154507.821711054,53960.0911751186,8150.218372111,3628.22925608245,1065.60713977182,1171.45283876341
2006,358254.891689804,45387.8623878376,12416.7295555093,2326.45283933414,1170.04793846566,1026.79748537297
2007,168552.069695092,100609.302243285,10063.7989339542,4366.42554371525,1043.04541842306,917.543508946985
2008,196025.493768166,46490.3479936139,23741.9783802246,3432.34850088683,1780.05581582578,1122.93379578027
2009,193300.258017704,54122.2145120568,11459.7938333749,8138.81604987798,1539.32609656516,1325.70543431421
2010,296262.154962773,55160.367813223,13354.3840075657,4308.30571395265,3591.05029508634,1295.69174818621
2011,148152.881100811,80902.4996021463,13807.9528689136,4803.49952997854,2007.40876958755,2618.87469823183
2012,203210.97417604,41689.3091659517,21046.7198423185,6703.60017086995,2297.32343419194,2377.0131511212
2013,263023.852246496,52891.6097813627,11685.4528378953,9938.78441580712,3509.39873073084,2362.08504119011
2014,391601.492140409,66836.191384222,15901.9973529306,5772.1505363362,5135.84671646814,3011.51935652731
2015,169058.485147545,104924.885820489,20227.5335032002,7482.33359309424,3031.76428098013,5273.76601409026
2016,145364.549392928,41357.1252001333,30151.8029589227,10074.875203613,4168.03508039804,5339.0339107652
