Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,19347,13052,113655,126508,60962,36915,5434,107177,303519,42062,111751,139635,169862,232476,547729,58501,615698,1248084,175863,248166,80437,601879,72096,663347,49451,36738,198992,45504,60761,129572,38121,336092,60242,19124,109552,16701,36793,45118,7624,30692,6135,21807,11222,28177,16947,11185,10127,10987,5035,11815,6871,9995,4977
2,62280,28541,58227,84327,95275,106373,32840,42403,191789,246086,48983,74502,63121,182989,98935,253025,96413,122048,221933,73132,139526,78543,153957,38069,189722,72109,44768,102027,31528,41353,82709,41773,106084,59360,42494,171206,15180,27965,53403,21265,14975,12452,16478,39743,29381,12599,13887,14188,12391,7420,8743,10711,15418
3,7028,20118,17646,29766,32689,42569,31532,18547,17179,48062,54901,11418,18849,18672,25989,17178,44384,34938,34646,60005,21480,31092,19003,34277,9761,43929,18544,11873,17002,8525,11145,21045,12783,23809,18430,18293,39904,6310,6797,17012,4328,7460,4831,6375,4921,11721,5494,5831,4970,6789,3919,5810,6853
4,3519,4285,9135,6153,11205,12330,13641,13272,6720,5653,14002,15745,4640,6707,4597,9396,4011,12274,8953,9487,11787,4238,7779,5791,8689,3117,9791,4299,3267,4916,3126,3045,5223,3125,6409,5909,3959,6529,1114,2805,3127,1650,1863,1020,2043,1369,3539,1646,1489,2077,2989,1768,2118
5,2774,1908,2375,3362,3255,6046,4542,6266,7065,2713,2195,4601,7525,1732,2286,2989,3375,1958,4088,3447,2803,3415,1369,2981,1528,2543,994,2445,1372,1041,1546,859,790,1834,1221,2379,1419,996,1053,395,397,944,546,524,451,720,646,1344,616,638,949,1345,799
6,1207,1809,946,1272,1964,1407,2881,1754,2686,3184,1103,956,2057,3056,833,1103,708,1269,779,2048,1246,1013,1257,602,1071,652,1028,307,1039,482,426,513,282,393,690,504,614,375,140,384,68,155,351,187,161,224,254,199,455,249,229,337,647
7,81,596,655,475,884,866,585,956,888,1671,1055,436,447,920,1140,408,396,494,599,425,589,434,371,554,234,293,249,307,222,323,200,140,148,159,151,233,219,135,82,58,61,29,52,121,40,70,53,65,49,139,100,64,159
8,489,117,297,368,353,307,420,208,455,609,487,393,195,130,370,403,139,197,133,234,179,243,172,170,215,66,139,54,137,51,106,57,41,87,47,41,89,39,27,38,15,19,13,23,41,26,19,16,28,15,38,38,27
9,13,93,51,125,137,150,147,185,227,388,79,330,228,67,262,152,157,73,64,77,89,59,78,69,55,63,27,60,27,39,17,32,14,42,14,16,14,18,13,18,5,6,11,4,6,13,17,6,5,4,5,6,9
10,6,11,75,56,40,111,46,97,77,112,57,80,95,63,26,36,42,55,36,27,28,44,16,44,48,23,31,12,4,17,10,7,13,4,15,4,10,5,6,4,2,2,1,1,1,1,10,4,2,4,2,2,1
+gp,0,4,8,83,17,24,77,40,93,17,161,188,63,43,96,44,17,25,21,16,23,19,31,23,12,18,10,9,9,9,13,16,5,8,10,12,2,1,1,1,0,0,1,0,1,1,3,2,2,1,1,0,2
