Year,1,2,3,4,5,6+
1963,21689,47321,7397,3507,2785,1800
1964,39807,36523,20249,4191,1892,2573
1965,60409,67833,17038,8865,2341,2115
1966,76726,82975,28889,6330,3569,2337
1967,70841,107087,32461,11577,3199,3276
1968,39211,96221,41719,12080,5934,2928
1969,32725,45374,32377,13780,4584,4005
1970,122578,44860,18000,13377,6262,3394
1971,200426,158055,16906,6681,6971,4522
1972,58513,211758,47777,5700,2731,5676
1973,87571,48850,54852,13694,2200,3072
1974,84669,71168,11903,16073,4741,2325
1975,161765,72533,19313,4442,7390,3100
1976,124033,130027,18572,6458,1762,4356
1977,289179,76321,27152,4957,2311,2650
1978,202805,209190,17506,9245,2724,2131
1979,229349,122602,44135,4208,3364,1526
1980,400713,147798,34190,12315,1905,2107
1981,160171,233935,34641,8964,4255,1635
1982,289526,95894,58070,9404,3426,2719
1983,154848,158832,20787,11760,2807,2168
1984,256145,83952,31245,4302,3386,1795
1985,58924,153169,19341,7808,1374,1929
1986,275709,39971,34989,5662,2910,1438
1987,100881,179333,9796,8549,1550,1601
1988,71083,70785,42689,2937,2568,1133
1989,123624,50701,18596,9953,959,1428
1990,45143,81528,11869,4302,2573,769
1991,50071,33360,17815,3313,1368,1368
1992,111035,39525,8658,4841,1029,940
1993,56449,88610,10525,2800,1463,726
1994,133226,47259,21929,3119,905,788
1995,80443,112005,14466,5981,953,612
1996,47448,62442,24637,3313,1811,664
1997,136189,40864,15893,5545,1021,788
1998,16444,126475,12828,4151,1681,588
1999,30170,15878,34902,3420,1218,779
2000,54090,28598,5549,6585,936,547
2001,17978,50808,8822,1390,1378,360
2002,24629,18370,15307,2386,344,435
2003,11953,25276,6376,4311,612,234
2004,19026,13525,8389,1802,1109,243
2005,13408,18522,4568,1892,520,412
2006,27203,14393,6467,1103,525,326
2007,11364,29747,5000,1957,441,267
2008,12003,13020,11428,1481,733,316
2009,11140,14653,5445,3477,626,359
2010,13774,13201,5742,1652,1302,304
2011,5121,16233,5093,1577,623,521
2012,6079,7658,7229,2042,650,419
2013,7376,9375,3958,2955,949,388
2014,10986,11854,5446,1713,1364,478
2015,4556,18129,6779,2172,794,830
