Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,3198,5004,15734,18133,10749,5800,2932,54219,44599,3813,25836,15484,33210,5695,75130,29593,34627,62394,20131,66220,25488,64358,8795,99841,24816,21362,22072,11629,13288,27162,4688,15366,15486,4871,23443,1243,5831,8087,2164,4425,438,1470,1009,1286,776,338,519,1120,1099,665,683,2240,706
2,42377,22373,51628,62202,70539,83416,22561,33747,154565,186744,31596,58624,46907,99779,50926,174912,91143,104356,187626,64755,128396,66026,117383,32308,127774,55025,36084,53783,23145,31472,54171,24969,62650,36303,28793,80948,9549,22457,20309,8029,8893,3511,8175,4401,6334,3268,4833,5037,4540,2230,2688,4207,6430
3,6995,20003,17557,29695,32529,42373,31419,18395,17132,47885,54655,11347,18849,18481,25525,17178,44384,34938,34567,59907,21456,31087,18888,33973,9761,43712,18056,11795,16554,8523,11134,20885,12753,23046,18390,16794,31624,6310,6044,13831,3552,5453,3036,4410,2264,4130,2839,4578,4046,5367,3063,4376,4892
4,3519,4285,9135,6153,11205,12330,13641,13272,6720,5653,14002,15745,4640,6707,4597,9396,4011,12274,8953,9487,11787,4238,7779,5791,8689,3117,9791,4299,3267,4916,3126,3045,5223,3125,6409,5909,3959,6529,1114,2787,3072,1527,1714,969,1562,1146,2888,1582,1408,1963,2592,1605,1939
5,2774,1908,2375,3362,3255,6046,4542,6266,7065,2713,2195,4601,7525,1732,2286,2989,3375,1958,4088,3447,2803,3415,1369,2981,1528,2543,994,2445,1372,1041,1546,859,790,1834,1221,2379,1419,996,1053,395,397,939,479,520,398,706,596,1315,610,633,865,1286,744
6,1207,1809,946,1272,1964,1407,2881,1754,2686,3184,1103,956,2057,3056,833,1103,708,1269,779,2048,1246,1013,1257,602,1071,652,1028,307,1039,482,426,513,282,393,690,504,614,375,140,384,68,155,339,187,137,213,237,198,451,248,190,332,583
7,81,596,655,475,884,866,585,956,888,1671,1055,436,447,920,1140,408,396,494,599,425,589,434,371,554,234,293,249,307,222,323,200,140,148,159,151,233,219,135,82,58,61,29,52,120,40,70,44,65,48,139,84,64,144
8,489,117,297,368,353,307,420,208,455,609,487,393,195,130,370,403,139,197,133,234,179,243,172,170,215,66,139,54,137,51,106,57,41,87,47,41,89,39,27,38,15,19,13,23,39,26,19,16,27,15,38,38,22
9,13,93,51,125,137,150,147,185,227,388,79,330,228,67,262,152,157,73,64,77,89,59,78,69,55,63,27,60,27,39,17,32,14,42,14,16,14,18,13,18,5,6,9,4,6,13,17,6,5,4,5,6,6
10,6,11,75,56,40,111,46,97,77,112,57,80,95,63,26,36,42,55,36,27,28,44,16,44,48,23,31,12,4,17,10,7,13,4,15,4,10,5,6,4,2,2,1,1,1,1,8,4,2,4,1,2,1
+gp,0,4,8,83,17,24,77,40,93,17,161,188,63,43,96,44,17,25,21,16,23,19,31,23,12,18,10,9,9,9,13,16,5,8,10,12,2,1,1,1,0,0,1,0,1,1,3,2,2,1,1,0,2
