Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.27,0.27,0.269,0.269,0.269,0.269,0.268,0.268,0.268,0.268,0.268,0.268,0.227,0.189,0.255,0.287,0.276,0.242,0.279,0.274,0.297,0.27,0.276,0.242,0.237,0.3,0.326,0.26,0.315,0.314,0.274,0.287,0.316,0.342,0.313,0.358,0.257,0.298,0.232,0.243,0.262,0.236,0.302,0.224,0.288,0.404,0.385,0.292,0.277,0.234,0.334,0.311,0.321
2,0.393,0.393,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.359,0.354,0.382,0.309,0.361,0.411,0.396,0.489,0.458,0.469,0.376,0.365,0.353,0.339,0.431,0.371,0.366,0.408,0.429,0.362,0.404,0.38,0.453,0.375,0.389,0.422,0.361,0.314,0.345,0.27,0.565,0.116,0.814,0.735,0.984,0.785,0.677,0.556,0.796,0.742,0.756
3,0.505,0.508,0.506,0.509,0.506,0.505,0.504,0.505,0.508,0.507,0.507,0.508,0,0.412,0.376,0,0,0,0.517,0.593,0.534,0.509,0.652,0.437,0,0.463,0.484,0.526,0.395,2.309,0.705,0.483,0.553,0.515,0.616,0.481,0.422,0,0.406,0.413,0.498,0.686,0.814,0.827,1.69,1.699,2.013,1.533,2.057,1.867,1.493,1.772,1.616
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205,0.528,0.864,2.223,2.557,3.949,3.002,3.485,3.137,4.099,3.803,3.375,3.128,3.157
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.852,4.255,4.208,6.609,5.311,6.565,5.323,5.576,6.456,4.048,3.826,3.983
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,6.509,5.437,10.198,9.341,8.521,8.369,6.071,8.579,8.419,4.642,5.303
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.048,5.9,5.128,13.464,6.728,8.264,9.733,7.086,4.423,6.94
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.906,0,0,0,6.213,0,0,0,8.39
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,11.617,0,0,0,4.081
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.014,0,0,16.37,16.37,0,0
+gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
