Age,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.538,0.496,0.581,0.579,0.59,0.64,0.544,0.626,0.579,0.616,0.559,0.594,0.619,0.568,0.541,0.573,0.55,0.55,0.723,0.589,0.632,0.594,0.59,0.583,0.635,0.585,0.673,0.737,0.67,0.699,0.699,0.677,0.721,0.699,0.656,0.542,0.64,0.611,0.725,0.626,0.573,0.726,0.747,0.793,0.83,1.067,0.788,0.715,0.862,0.938,0.883,0.699,0.594
2,1.004,0.863,0.965,0.994,1.035,0.973,0.921,0.961,0.941,0.836,0.869,1.039,0.899,1.029,0.948,0.937,0.936,1.003,0.837,0.962,0.919,1.007,0.932,0.856,0.976,0.881,1.052,0.976,1.078,1.146,1.065,1.075,1.021,1.117,0.96,0.922,0.935,1.021,1.004,0.996,1.079,1.072,1.16,1.2,1.182,1.389,1.412,1.292,1.328,1.369,1.24,1.213,1.198
3,2.657,2.377,2.304,2.442,2.404,2.223,2.133,2.041,2.193,2.086,1.919,2.217,2.348,2.47,2.16,2.001,2.411,1.948,2.19,1.858,1.835,2.156,2.141,1.834,1.955,1.982,1.846,2.176,2.038,2.546,2.479,2.201,2.21,2.147,2.12,1.724,1.663,1.747,2.303,1.844,1.895,2.089,1.952,2.239,2.365,2.456,2.674,2.671,2.525,2.354,2.461,2.39,2.29
4,4.491,4.528,4.512,4.169,3.153,4.094,3.852,4.001,4.258,3.968,3.776,4.156,4.226,4.577,4.606,4.146,4.423,4.401,4.615,4.13,3.88,3.972,4.164,3.504,3.65,3.187,3.585,3.791,3.971,4.223,4.551,4.471,4.293,4.034,3.821,3.495,3.305,3.216,3.663,3.735,3.347,3.252,3.647,3.894,4.05,4.063,4.145,4.223,4.596,4.175,4.164,4.18,4.111
5,6.794,6.447,7.274,7.027,6.803,5.341,5.715,6.131,6.528,6.011,5.488,6.174,6.404,6.494,6.714,6.53,6.579,6.109,7.045,6.785,6.491,6.19,6.324,6.23,6.052,5.992,5.273,5.931,6.082,6.247,6.54,7.167,7.22,6.637,6.228,5.387,5.726,4.903,5.871,5.537,5.757,5.184,5.244,5.676,6.053,6.224,6.119,6.049,6.481,6.391,6.187,5.678,5.935
6,9.409,8.52,9.498,9.599,9.61,8.02,6.722,7.945,8.646,8.246,7.453,8.333,8.691,8.62,8.828,8.667,8.474,9.12,8.884,8.903,8.423,8.362,8.43,8.14,8.307,7.914,7.921,7.89,8.033,8.483,8.094,8.436,8.98,8.494,8.394,7.563,7.403,7.488,7.333,8.006,6.694,7.438,7.225,7.234,8.25,7.393,7.49,8.299,7.843,8.115,8.347,7.435,6.923
7,11.562,10.606,11.898,11.766,12.033,8.581,9.262,9.953,10.356,9.766,9.019,9.889,10.107,10.132,10.071,9.685,10.637,9.55,9.933,10.398,9.848,10.317,10.362,9.896,10.243,9.764,9.724,10.235,9.545,10.101,9.641,9.537,10.282,9.729,9.979,9.628,8.582,9.636,9.264,9.451,8.838,8.974,9.457,9.243,9.262,9.651,8.968,9.472,9.681,9.092,9.817,9.191,8.774
8,11.942,10.758,12.041,11.968,12.481,10.162,9.749,10.131,11.219,10.228,9.81,10.791,10.91,11.34,11.052,11.099,11.55,11.867,11.519,12.5,11.837,11.352,12.074,11.94,11.461,12.127,11.212,10.923,10.948,10.482,10.734,10.323,11.743,11.08,11.424,10.643,10.365,10.671,10.081,10.012,12.674,9.894,10.567,10.477,10.015,11.489,11.447,11.631,9.629,11.799,9.486,9.18,9.627
9,13.383,12.34,13.053,14.06,13.589,10.72,10.384,11.919,12.881,11.875,11.077,12.175,12.339,12.888,11.824,12.427,13.057,12.782,13.338,13.469,12.797,13.505,13.072,12.951,12.447,14.242,12.586,12.803,13.481,11.849,12.329,12.223,13.107,12.264,12.3,11.499,11.6,10.894,12.062,11.888,11.518,11.857,12.015,12.325,12.282,11.387,11.291,12.827,10.845,12.548,11.364,11.469,10.654
10,13.756,12.54,14.441,14.746,14.271,12.497,12.743,12.554,13.147,12.53,12.359,12.425,12.976,14.139,13.134,12.778,14.148,14.081,14.897,12.89,12.562,13.408,14.443,13.859,18.691,17.787,15.557,15.525,13.171,13.904,13.443,14.247,12.052,12.756,12.761,13.085,12.33,11.414,12.009,12.795,11.053,12.095,12.066,14.862,14.559,12.725,11.716,12.083,14.436,11.436,10.935,16.456,13.838
+gp,0,18,15.667,15.672,19.016,11.595,11.175,14.367,15.544,14.35,12.886,13.731,14.431,14.76,14.362,13.981,15.478,15.392,18.784,14.608,14.426,13.472,16.588,14.707,16.604,16.477,14.695,23.234,14.989,15.794,13.961,12.523,13.954,11.304,13.416,14.921,11.926,15.078,10.196,11.688,14.988,14.092,22.464,17.887,17.521,15.381,18.764,10.052,12.421,20.644,29.765,34.656,30.078
